,city_code,city_name,length,lane,cond,light,eye,rev,adj
0,110000,北京市,66648,79,84,41,260,7,256
1,120000,天津市,16424,14,20,8,41,0,44
2,130100,石家庄市,24274,1,12,0,24,0,64
3,130200,唐山市,10774,0,4,0,1,0,11
4,130400,邯郸市,34461,5,7,0,27,0,54
5,130500,邢台市,4986,0,0,0,10,0,17
6,130600,保定市,40786,3,71,5,24,0,116
7,130800,承德市,17797,1,0,0,11,0,33
8,130900,沧州市,28959,2,16,6,35,2,52
9,131000,廊坊市,17936,4,5,3,33,2,45
10,140400,长治市,14611,1,10,0,26,3,46
11,140600,朔州市,14195,3,0,0,18,1,26
12,140800,运城市,5845,6,2,0,4,0,18
13,141100,吕梁市,5414,0,1,0,0,0,3
14,150200,包头市,13723,0,2,0,10,0,18
15,150400,赤峰市,13297,3,9,0,5,0,5
16,150500,通辽市,23677,6,7,9,34,1,40
17,150600,鄂尔多斯市,5154,0,4,0,0,0,10
18,150700,呼伦贝尔市,8039,0,2,0,1,0,36
19,150800,巴彦淖尔市,5193,4,3,3,11,1,14
20,152500,锡林郭勒盟,16748,2,4,0,2,0,1
21,210200,大连市,35744,97,64,24,94,4,124
22,210300,鞍山市,11029,0,2,0,0,0,4
23,210600,丹东市,45955,44,28,54,157,13,160
24,210700,锦州市,7115,0,0,0,1,0,14
25,210800,营口市,30429,40,8,33,35,6,70
26,210900,阜新市,3337,0,0,0,2,0,5
27,211400,葫芦岛市,20109,0,2,0,1,0,21
28,220100,长春市,24991,39,18,15,29,3,30
29,220600,白山市,26898,21,23,20,63,20,124
30,220700,松原市,27004,3,8,0,0,0,25
31,230100,哈尔滨市,38957,0,0,0,48,0,65
32,230500,双鸭山市,36546,17,7,17,55,4,68
33,230600,大庆市,32552,44,26,49,135,3,96
34,230800,佳木斯市,14585,0,0,0,1,0,5
35,231100,黑河市,53918,1,13,1,26,7,45
36,231200,绥化市,21505,2,2,8,9,8,59
37,310000,上海市,33313,37,15,41,169,1,100
38,320100,南京市,35577,73,109,78,235,6,147
39,320300,徐州市,37241,30,20,24,134,1,111
40,320400,常州市,34877,57,21,33,106,7,76
41,320500,苏州市,36116,77,75,48,239,7,82
42,320600,南通市,25301,56,45,49,86,9,104
43,320700,连云港市,2728,0,2,0,2,0,7
44,320800,淮安市,42939,63,46,32,157,2,118
45,320900,盐城市,37532,45,28,4,56,0,60
46,321000,扬州市,13798,27,16,30,35,0,24
47,321100,镇江市,7700,2,1,3,9,1,14
48,321200,泰州市,8717,0,12,0,14,0,24
49,330100,杭州市,34396,195,223,118,359,0,144
50,330200,宁波市,9665,24,3,16,2,0,26
51,330300,温州市,483,0,0,0,1,0,2
52,330400,嘉兴市,53628,94,117,78,273,7,176
53,330500,湖州市,3754,0,12,0,6,0,7
54,330600,绍兴市,62928,15,24,13,107,0,110
55,330700,金华市,44065,46,30,12,113,4,116
56,330800,衢州市,16370,33,50,11,156,0,47
57,331000,台州市,26100,0,14,0,31,0,53
58,331100,丽水市,4913,0,0,0,2,0,2
59,340100,合肥市,41837,80,43,64,122,11,94
60,340500,马鞍山市,35966,64,41,39,94,2,94
61,340800,安庆市,31872,3,2,0,16,0,25
62,341000,黄山市,16601,44,20,5,30,9,57
63,341200,阜阳市,2370,2,0,0,1,0,4
64,341300,宿州市,35494,14,23,6,23,2,90
65,341600,亳州市,7452,7,0,4,17,0,23
66,350100,福州市,7666,37,19,15,49,5,28
67,350200,厦门市,14935,24,27,5,39,4,62
68,350300,莆田市,53925,131,64,26,132,23,188
69,350400,三明市,19471,35,35,0,45,4,55
70,350800,龙岩市,15667,7,2,0,8,0,17
71,350900,宁德市,9719,3,11,0,15,0,8
72,360100,南昌市,12664,4,4,3,10,0,23
73,360200,景德镇市,23659,4,4,0,4,0,24
74,360700,赣州市,43435,69,39,21,111,9,113
75,360900,宜春市,16922,0,2,0,1,0,10
76,361000,抚州市,10393,0,0,0,7,0,19
77,361100,上饶市,7147,0,2,0,4,0,15
78,370100,济南市,104740,225,145,94,366,14,333
79,370200,青岛市,97194,135,110,98,510,21,420
80,370300,淄博市,1048,0,0,0,3,0,1
81,370400,枣庄市,4192,0,0,0,0,0,14
82,370500,东营市,43524,14,14,2,21,2,82
83,370600,烟台市,24521,18,10,20,30,11,66
84,370700,潍坊市,22648,0,8,0,9,0,36
85,371000,威海市,62176,72,78,46,129,18,173
86,371100,日照市,7057,0,0,0,7,0,18
87,371300,临沂市,21653,3,2,4,13,0,42
88,371500,聊城市,13491,28,10,6,20,2,26
89,371600,滨州市,3816,0,0,0,6,0,2
90,410100,郑州市,15782,22,8,18,21,16,43
91,410200,开封市,5012,0,0,0,11,0,2
92,410400,平顶山市,19798,3,4,0,9,2,41
93,410500,安阳市,7013,0,2,1,8,0,12
94,410700,新乡市,46746,39,184,48,123,7,129
95,411200,三门峡市,7333,5,1,4,25,1,17
96,411300,南阳市,13289,0,7,0,3,0,27
97,411400,商丘市,9845,5,8,0,11,0,34
98,411500,信阳市,18788,0,2,0,17,0,34
99,411600,周口市,14089,4,0,0,9,0,30
100,411700,驻马店市,40108,2,3,1,17,0,67
101,420100,武汉市,72810,177,174,126,305,11,199
102,420200,黄石市,1028,0,0,0,6,0,3
103,420500,宜昌市,27717,62,29,24,28,17,106
104,420600,襄阳市,43778,49,26,15,32,5,61
